Data Bencana,,,,,,,,,,,,,,,
No.,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Dampak
47,3205,4/2/2022,PUTING BELIUNG,Kec. Garut Kota Ds. Kota Wetan Kec. Tarogong Kidul Ds. Jati Kec. Banyuresmi Ds. Sukasenang,GARUT,JAWA BARAT,,Dipicu oleh intensitas curah hujan yang cukup tinggi dan kondisi tanah yang labil,0,0,0,14,0,0,1
48,3215,4/2/2022,PUTING BELIUNG,Kec. Lemahabang Ds. Pulojaya,KARAWANG,JAWA BARAT,,: Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,15,0,0,1
49,1901,4/2/2022,PUTING BELIUNG,Kec. Mendo Barat Ds. Air Buluh,BANGKA,KEPULAUAN BANGKA BELITUNG,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,0,0,0,0
50,1904,4/2/2022,PUTING BELIUNG,Kec. Sungai selan Ds. Keretak Ds. Keretak Atas,BANGKA TENGAH,KEPULAUAN BANGKA BELITUNG,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,0,0,2,0
51,3471,4/2/2022,PUTING BELIUNG,Kec. Danurejan Kel. Bausasran Kec. Ngampilan Kec. Gondokusuman Kel. Terban  Kec. Gondomanan Kec. Umbulharjo Kec. Mergangsan Kec. Jetis Kec. Wirobrajan,KOTA YOGYAKARTA,DI YOGYAKARTA,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,0,0,0,0
52,3310,4/2/2022,PUTING BELIUNG,Kec. Kebonarum Ds. Ngrundul,KLATEN,JAWA TENGAH,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,4,0,0,0
53,3509,4/2/2022,PUTING BELIUNG,Kec. Jelbuk Ds. Jelbuk Ds. Sukowiryo,JEMBER,JAWA TIMUR,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,8,0,0,0
54,6203,4/2/2022,PUTING BELIUNG,Kec. Kapuas Murung  Ds. Rawa Subur,KAPUAS,KALIMANTAN TENGAH,,●Angin kencang,0,0,0,0,0,0,0
55,1804,4/2/2022,PUTING BELIUNG,Kec. Sukadana   Ds. Muarajaya,LAMPUNG TIMUR,LAMPUNG,,: Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang di Dusun 3 Desa muarajaya,0,0,0,2,0,0,0
56,3310,4/1/2022,PUTING BELIUNG,Kec. Bayat Kec. Cawas Ds. Cawas Ds. Tugu Ds. Kalideres Kec. Wedi,KLATEN,JAWA TENGAH,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang],0,0,0,3,0,0,0
57,3571,4/1/2022,PUTING BELIUNG,Kel. Dandangan Kel. Pocanan Kel. Ngadirejo Kel. Sentono Pande Kel. Banjaran Kel. Pakelan Kel. Balowerti Kec. Mojoroto Kel. Mojoroto,KOTA KEDIRI,JAWA TIMUR,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,3,0,0,0
58,3314,4/1/2022,PUTING BELIUNG,Kec. Sragen Kel. Sragen Wetan Kec. Ngrampal Ds. Ngarum   Kec. Karangmalang Kel Kroyo,SRAGEN,JAWA TENGAH,,Dipicu oleh Hujan dengan Intensitas Sedang - Tinggi yang disertai Angin Kencang mengakibatkan beberapa pohon tumbang,0,0,2,0,0,0,0
59,3528,4/1/2022,PUTING BELIUNG,Kec. Pegantenan Ds. Plakpak,PAMEKASAN,JAWA TIMUR,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,1,1,0,1,0
60,3307,4/1/2022,PUTING BELIUNG,Kec. Leksono Ds. Leksono Kec. Kertek Ds. Reco,WONOSOBO,JAWA TENGAH,,Dipicu oleh intensitas curah hujan yang cukup tinggi,0,0,0,5,0,0,0
61,1903,4/1/2022,PUTING BELIUNG,Kec. Tempilang Ds. Simpang Yul,BANGKA BARAT,KEPULAUAN BANGKA BELITUNG,,● Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang yang terjadi di wilayah Kab. Bangka Barat,0,0,0,44,0,1,1
62,3516,4/1/2022,PUTING BELIUNG,Kec. Mojoanyar  Ds. Sumberjati,MOJOKERTO,JAWA TIMUR,,●dipicu akibat hujan lebat disertai angin kencang di wilayah Kec. Mojoanyar. Angin kencang menyebabkan kerusakan pada rumah-rumah warga.,0,0,0,4,0,0,0
63,3573,3/31/2022,PUTING BELIUNG,Kec. Blimbing  Kel. Bunulrejo,KOTA MALANG,JAWA TIMUR,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,1,0,0,0
64,3213,3/31/2022,PUTING BELIUNG,Kec. Dawuan  Ds. Cisampih,SUBANG,JAWA BARAT,,Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,0,0,0,1,0,0,0
65,3202,3/31/2022,PUTING BELIUNG,Kec. Pelabuhan Ratu  Ds. Jayanti,SUKABUMI,JAWA BARAT,,●Dipicu akibat angin kencang yang terjadi di wilayah Kec. Pelabuhan Ratu dan menyebabkan 1 unit rumah warga roboh,0,0,0,1,0,0,0
